Keyword,Keyword_type
Adobe Systems Adobe Acrobat,technology
AdSense Tracker,technology
Atlassian JIRA,technology
Blackbaud The Raiser's Edge,technology
ComputerEase Construction Accounting,technology
Database reporting software,technology
Databox,technology
Email software,technology
Enterprise resource planning ERP software,technology
Exact Software Macola ES Labor Performance,technology
Extensible markup language XML,technology
Fund accounting software,technology
Graphic presentation software,technology
Halogen e360,technology
Halogen ePraisal,technology
HCSS HeavyBid,technology
HCSS HeavyJob,technology
Human resource information system HRIS,technology
Infor SSA Human Capital Management,technology
Intuit QuickBooks,technology
Listserv software,technology
Lyris HQ Web-Analytics Solution,technology
Microsoft Access,technology
Microsoft Dynamics,technology
Microsoft Dynamics AX,technology
Microsoft Dynamics GP,technology
Microsoft Excel,technology
Microsoft FRx,technology
Microsoft Office,technology
Microsoft Outlook,technology
Microsoft PowerPoint,technology
Microsoft Project,technology
Microsoft Publisher,technology
Microsoft SharePoint,technology
Microsoft Word,technology
Nedstat Sitestat,technology
Norchard Solutions Succession Wizard,technology
Online advertising reporting software,technology
Oracle E-Business Suite,technology
Oracle PeopleSoft,technology
Oracle Siebel Server Sync,technology
PHP: Hypertext Preprocessor,technology
Relational database management software,technology
Sage 50 Accounting,technology
SAP,technology
SmugMug Flickr,technology
Structured query language SQL,technology
Web browser software,technology
Email software,technology
Microsoft Access,technology
Microsoft Dynamics GP,technology
Microsoft Excel,technology
Microsoft Office,technology
Microsoft PowerPoint,technology
Microsoft Project,technology
Microsoft Word,technology
SAP,technology
Scheduling software,technology
Teleconferencing software,technology
Web browser software,technology
ActionWare,technology
Adobe Systems Adobe Acrobat,technology
Adobe Systems Adobe Photoshop,technology
ADP Workforce Now,technology
Amazon Web Services AWS software,technology
AMG Teleran SalesInSync,technology
Apache Hadoop,technology
Apple Final Cut Pro,technology
Apple macOS,technology
Atlassian JIRA,technology
Autodesk AutoCAD,technology
Avidian Technologies Prophet,technology
Blackbaud The Raiser's Edge,technology
Blackboard,technology
CA Erwin Data Modeler,technology
Calendar and scheduling software,technology
Citrix,technology
CNC Mastercam,technology
Computer aided manufacturing CAM software,technology
Confluence,technology
Customer information control system CICS,technology
Data entry software,technology
Datawatch Monarch,technology
Deacom ERP,technology
Delphi Technology,technology
Dynamic Energy Systems MedAct,technology
Extensible markup language XML,technology
Facebook,technology
FileMaker Pro,technology
Fund accounting software,technology
Geographic information system GIS software,technology
Google AdWords,technology
Google Analytics,technology
Google Docs,technology
Google Drive,technology
HEAT Software GoldMine,technology
Human resource management software HRMS,technology
Human resources software,technology
IBM Cognos Impromptu,technology
IBM Domino,technology
IBM InfoSphere DataStage,technology
IBM Notes,technology
IBM Power Systems software,technology
IBM SPSS Statistics,technology
InnQuest Software roomMaster,technology
Intuit QuickBooks,technology
Inventory management software,technology
Job control language JCL,technology
Kronos Workforce Payroll,technology
Kronos Workforce Timekeeper,technology
LexisNexis,technology
LinkedIn,technology
LSA Visual Easy Lean,technology
Marketo Marketing Automation,technology
Maximizer Software Maximizer Enterprise,technology
McAfee,technology
Microsoft Access,technology
Microsoft Dynamics,technology
Microsoft Dynamics GP,technology
Microsoft Excel,technology
Microsoft Exchange Server,technology
Microsoft FrontPage,technology
Microsoft Internet Explorer,technology
Microsoft Office,technology
Microsoft Outlook,technology
Microsoft PowerPoint,technology
Microsoft Project,technology
Microsoft Publisher,technology
Microsoft SharePoint,technology
Microsoft SQL Server,technology
Microsoft Visio,technology
Microsoft Visual Basic,technology
Microsoft Visual Basic for Applications VBA,technology
Microsoft Windows,technology
Microsoft Word,technology
MicroStrategy,technology
Minitab,technology
Mozilla Firefox,technology
Mozilla Thunderbird,technology
Nagios,technology
NetSuite ERP,technology
NetSuite NetCRM,technology
Oracle Business Intelligence Enterprise Edition,technology
Oracle E-Business Suite Financials,technology
Oracle Eloqua,technology
